site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,161,-0.161827972,28.6,3.9,2.323287671
LCR_res,162,1.227070312,25.7,0.3,0.364383562
LCR_res,164,-1.703163762,16.9,3.6,0.709589041
LCR_res,164,-0.053514413,20.5,6.5,1.375342466
LCR_res,165,-0.258186467,13.3,-0.3,0.068493151
LCR_res,165,-1.904758075,13,2.2,0.632876712
LCR_res,166,-0.528886203,31.3,9,8.594520548
LCR_res,166,0.470524421,40.3,0.6,0.073972603
LCR_res,166,-0.688839669,40.9,-0.2,0.997260274
LCR_res,167,1.022005573,27.6,2.6,0.44109589
LCR_res,167,-0.24425326,30.2,-0.4,0.076712329
LCR_res,167,0.62538925,20.1,10.4,0.054794521
LCR_res,167,1.501627658,30.5,2.1,0.287671233
LCR_res,168,-0.784860837,19.6,3.7,2.671232877
LCR_res,168,-0.238049724,23.3,4.1,4.430136986
LCR_res,168,-1.722892402,27.4,0.4,0.632876712
LCR_res,168,1.540482059,27.8,-0.1,0.282191781
LCR_res,169,-0.773927774,22.2,3.5,1
LCR_res,170,-0.24425326,16.9,0.4,0.076712329
LCR_res,171,1.228561349,13.2,2.8,0.361643836
LCR_res,171,-1.731626779,16,1.3,0.704109589
LCR_res,171,1.510132344,17.3,2.8,0.293150685
LCR_res,171,0.088252361,20.1,-0.2,0.073972603
LCR_res,171,-1.701727645,19.9,0.6,0.553424658
LCR_res,171,0.188961764,20.5,0.7,0.073972603
LCR_res,172,-0.652205189,30.4,3.6,4.578082192
LCR_res,173,1.227070312,18,1.5,0.364383562
LCR_res,174,0.22650033,15.4,0,0.005479452
LCR_res,175,0.058762487,23.7,-0.2,0.073972603
LCR_res,175,1.227070312,23.5,-1,0.364383562
LCR_res,176,0.983978848,29.6,-0.1,0.005479452
LCR_res,176,1.230802315,29.5,1,0.35890411
LCR_res,176,-0.734133828,30.5,2.9,3.589041096
LCR_res,177,1.228561349,23.7,1.5,0.361643836
LCR_res,178,1.009810465,14.6,4,0.443835616
LCR_res,178,0.667066057,18.6,0.3,0.002739726
LCR_res,179,1.230802315,18.8,2.4,0.35890411
LCR_res,179,-0.258186467,21.2,0.2,0.068493151
LCR_res,179,-0.082647387,21.4,-0.2,0.005479452
LCR_res,180,-0.24425326,20.6,0.2,0.076712329
LCR_res,181,1.227070312,29,0.6,0.364383562
LCR_res,182,1.227070312,26.7,1.4,0.364383562
LCR_res,182,-0.249883846,28.1,0.2,0.082191781
LCR_res,183,1.230802315,10.6,3.2,0.35890411
